generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
118,68,2.6924078259454213e-05,2.9405419957219015e-05,2.8631383045554884e-05,7.348192245326034e-07
119,66,2.6924078259454213e-05,2.9005106833609895e-05,2.8568145195559347e-05,7.7160902463001e-07
120,68,2.6924078259454213e-05,2.9005106833609895e-05,2.854216002118975e-05,7.919181303533321e-07
121,72,2.6924078259454213e-05,2.9177446496197493e-05,2.8523400753164138e-05,8.119807152559356e-07
122,62,2.693799016763319e-05,2.9177446496197493e-05,2.865523195833827e-05,6.90631635334868e-07
123,72,2.693799016763319e-05,2.9177446496197493e-05,2.877587633497529e-05,5.423416595782874e-07
124,72,2.693799016763319e-05,2.9177446496197493e-05,2.881614981802084e-05,4.905013975525062e-07
125,62,2.693799016763319e-05,2.9177446496197493e-05,2.8780656061257745e-05,5.348643425974682e-07
126,66,2.693799016763319e-05,2.9177446496197493e-05,2.8778695657095027e-05,5.31760528614546e-07
127,67,2.693799016763319e-05,2.9177446496197493e-05,2.8773009033918318e-05,5.083799303662041e-07
128,64,2.693799016763319e-05,2.9005106833609895e-05,2.8713700167593257e-05,5.111968085387616e-07
129,66,2.693799016763319e-05,2.9432790527804606e-05,2.8764591223952327e-05,4.5109522682125943e-07
130,71,2.693799016763319e-05,2.9005106833609895e-05,2.8772089715575804e-05,3.928774861057316e-07
131,66,2.7922346107117248e-05,2.9005106833609895e-05,2.8875175335628043e-05,2.41759260006573e-07
132,66,2.7922346107117248e-05,2.9005106833609895e-05,2.8855852660955785e-05,2.7365541582573687e-07
133,70,2.7922346107117248e-05,2.9005106833609895e-05,2.889962397629349e-05,1.9940930049794546e-07
134,64,2.7922346107117248e-05,2.9005106833609895e-05,2.8936431395483946e-05,1.6477490390339318e-07
135,68,2.7922346107117248e-05,2.9005106833609895e-05,2.8903693839787763e-05,2.3797280855640424e-07
136,70,2.7922346107117248e-05,2.9005106833609895e-05,2.8873623138057907e-05,2.680612156765368e-07
137,68,2.7922346107117248e-05,2.9005106833609895e-05,2.887929240125661e-05,2.4983168976148754e-07
138,66,2.7547041000001024e-05,2.9005106833609895e-05,2.8884698766144065e-05,2.675833170253159e-07
139,72,2.761909668248198e-05,2.9005106833609895e-05,2.8933980991069233e-05,1.99866790905879e-07
140,74,2.761909668248198e-05,2.9005106833609895e-05,2.891505723750488e-05,2.2161611616928177e-07
141,68,2.8373400566644823e-05,2.9005106833609895e-05,2.8923941161063652e-05,1.6769657500567074e-07
142,72,2.8464177027886284e-05,2.9005106833609895e-05,2.8934810181107977e-05,1.5515565262138797e-07
143,64,2.8464177027886284e-05,2.9005106833609895e-05,2.8941270629971327e-05,1.526504965849592e-07
144,74,2.8464177027886284e-05,2.9005106833609895e-05,2.8912582752583718e-05,1.780065068716945e-07
145,70,2.8464177027886284e-05,2.9005106833609895e-05,2.8901517133699076e-05,1.9065185116462114e-07
146,62,2.8464177027886284e-05,2.9005106833609895e-05,2.89249885848616e-05,1.7543239161406278e-07
147,62,2.8433561744062437e-05,2.9005106833609895e-05,2.8885367462990363e-05,2.0678887025643472e-07
148,56,2.8433561744062437e-05,2.93301297139912e-05,2.8890132890493815e-05,2.167677147668664e-07
149,76,2.8464177027886284e-05,2.93301297139912e-05,2.887944996265697e-05,2.2544134177574875e-07
150,76,2.8464177027886284e-05,2.93301297139912e-05,2.8917987275663045e-05,2.0949257123023146e-07
151,72,2.8189740077036306e-05,2.93301297139912e-05,2.8939998144317276e-05,1.8829920798308766e-07
152,61,2.8189740077036306e-05,2.93301297139912e-05,2.8930607209484952e-05,1.9131493193799206e-07
153,68,2.8189740077036306e-05,2.93301297139912e-05,2.8908108593949613e-05,1.9610432334283479e-07
154,69,2.79737851351233e-05,2.93301297139912e-05,2.887607365577221e-05,2.5596323754260434e-07
155,74,2.8189740077036306e-05,2.93301297139912e-05,2.8875896312993732e-05,2.589378152338466e-07
156,74,2.8189740077036306e-05,2.93301297139912e-05,2.8901938620510204e-05,2.254093055723204e-07
157,70,2.8189740077036306e-05,2.93301297139912e-05,2.8886796951628294e-05,2.593532243980736e-07
158,70,2.8189740077036306e-05,2.93301297139912e-05,2.8875132427931035e-05,2.9410324481685526e-07
159,66,2.8189740077036306e-05,2.93301297139912e-05,2.8862385227555915e-05,3.3127019471697357e-07
160,74,2.783866269870786e-05,2.93301297139912e-05,2.8869393075520474e-05,3.4884617083843803e-07
161,66,2.783866269870786e-05,2.93301297139912e-05,2.8864274731669604e-05,4.072804785537674e-07
162,68,2.783866269870786e-05,2.93301297139912e-05,2.880935082457869e-05,4.265837617142354e-07
163,68,2.8189740077036306e-05,2.93301297139912e-05,2.87940867482123e-05,4.2896788208617724e-07
164,74,2.756976137816705e-05,2.93301297139912e-05,2.880345738572614e-05,4.494921547480997e-07
165,68,2.7866170594482937e-05,2.93301297139912e-05,2.878842657517792e-05,4.030884771507757e-07
166,68,2.7866170594482937e-05,2.93301297139912e-05,2.8780156310980512e-05,4.094806677819245e-07
167,66,2.808427291591948e-05,2.93301297139912e-05,2.8795854644749266e-05,3.7511868403367e-07
168,72,2.8189740077036306e-05,2.93301297139912e-05,2.8759835108320177e-05,3.8812602102641323e-07
169,68,2.8189740077036306e-05,2.93301297139912e-05,2.8770572018079595e-05,3.6828302286809857e-07
170,72,2.7024711968022272e-05,2.93301297139912e-05,2.877385223677188e-05,4.0103984490277853e-07
171,66,2.8070151831952827e-05,2.93301297139912e-05,2.8805385126784985e-05,3.29939220388485e-07
172,59,2.8137369760069638e-05,2.9456817607570982e-05,2.8845294446002674e-05,3.2415483343529194e-07
173,69,2.8065053726610827e-05,2.9456817607570982e-05,2.8872532480869277e-05,3.0864128096622893e-07
174,76,2.8065053726610827e-05,2.9456817607570982e-05,2.8883656903981553e-05,3.2228618306154566e-07
175,57,2.792576141162917e-05,2.9513088103820572e-05,2.8878288554761557e-05,3.209079900316465e-07
176,72,2.8072698500173827e-05,2.9456817607570982e-05,2.8872104618032127e-05,2.919394536179417e-07
177,60,2.8072698500173827e-05,2.9456817607570982e-05,2.8958451953015983e-05,2.3728996135802785e-07
178,72,2.8189740077036306e-05,2.9005106833609895e-05,2.8943047714240308e-05,1.909038258668527e-07
179,70,2.8169823349594986e-05,2.9005106833609895e-05,2.8962052477123292e-05,1.6919730936539724e-07
